Time [yr]	Species	Pebble Abundance [cm-2]
5000.0	grainH	2.3964437924e-18
5000.0	grainH(-)	6.7196177988e-24
5000.0	grainH2	6.5727357494e-11
5000.0	grainHe	9.2396454800e-18
5000.0	grainC	1.1705169658e-18
5000.0	grainCH	1.3149262332e-17
5000.0	grainC(-)	6.0812912091e-31
5000.0	grainCH2	1.1653437898e-14
5000.0	grainCH3	2.0058590641e-12
5000.0	grainN	2.9911868154e-31
5000.0	grainNH	8.8312121669e-31
5000.0	grainCH4	2.8850100052e-08
5000.0	grainNH2	1.2878201863e-29
5000.0	grainNH3	5.7037367763e-28
5000.0	grainO	2.4585679826e-11
5000.0	grainOH	1.0773707507e-10
5000.0	grainO(-)	6.6288427224e-28
5000.0	grainH2O	3.8978018428e-06
5000.0	grainOH(-)	7.9908555910e-14
5000.0	grainNa	0.0000000000e+00
5000.0	grainC2	3.4999591845e-13
5000.0	grainMg	0.0000000000e+00
5000.0	grainNaH	0.0000000000e+00
5000.0	grainC2H	9.3396821598e-12
5000.0	grainMgH	0.0000000000e+00
5000.0	grainC2H2	1.9789496631e-11
5000.0	grainCN	3.2243232900e-29
5000.0	grainCN(-)	7.5376955164e-35
5000.0	grainMgH2	0.0000000000e+00
5000.0	grainC2H3	9.1805946893e-13
5000.0	grainHCN	1.9733763701e-27
5000.0	grainHNC	2.4807632645e-29
5000.0	grainC2H4	3.9280001778e-12
5000.0	grainCHNH	0.0000000000e+00
5000.0	grainCNH2	0.0000000000e+00
5000.0	grainCO	8.1318066227e-08
5000.0	grainH2CN	6.1734730709e-33
5000.0	grainN2	0.0000000000e+00
5000.0	grainSi	1.5350117535e-29
5000.0	grainC2H5	4.1582462593e-14
5000.0	grainCH2NH	8.4051787076e-36
5000.0	grainCH3N	0.0000000000e+00
5000.0	grainCHNH2	0.0000000000e+00
5000.0	grainHCO	4.4413687670e-11
5000.0	grainHOC	0.0000000000e+00
5000.0	grainN2H	0.0000000000e+00
5000.0	grainSiH	1.3688374934e-29
5000.0	grainC2H6	0.0000000000e+00
5000.0	grainCH2NH2	0.0000000000e+00
5000.0	grainCH3NH	0.0000000000e+00
5000.0	grainCHOH	0.0000000000e+00
5000.0	grainH2CO	6.0959764059e-11
5000.0	grainHOCH	0.0000000000e+00
5000.0	grainN2H2	0.0000000000e+00
5000.0	grainNO	1.9386524547e-29
5000.0	grainSiH2	6.0317347645e-27
5000.0	grainCH2OH	0.0000000000e+00
5000.0	grainCH3O	0.0000000000e+00
5000.0	grainCH5N	0.0000000000e+00
5000.0	grainHNO	1.3930771321e-29
5000.0	grainHON	0.0000000000e+00
5000.0	grainSiH3	2.9403218840e-30
5000.0	grainCH3OH	2.4925218820e-19
5000.0	grainNH2OH	0.0000000000e+00
5000.0	grainO2	1.4778857189e-12
5000.0	grainS	3.7108656172e-30
5000.0	grainHS	4.8163824718e-30
5000.0	grainS(-)	2.0189916114e-41
5000.0	grainSiH4	3.8608323417e-30
5000.0	grainO2H	1.6696987579e-15
5000.0	grainH2O2	1.5002154975e-28
5000.0	grainH2S	1.1567678108e-29
5000.0	grainCl	0.0000000000e+00
5000.0	grainC3	7.4158485825e-16
5000.0	grainHCl	0.0000000000e+00
5000.0	grainC3H	1.9822481623e-15
5000.0	grainC2N	1.5034573497e-31
5000.0	grainC3H2	2.6875943260e-14
5000.0	grainH2CCC	6.6067614031e-15
5000.0	grainC3H3	0.0000000000e+00
5000.0	grainHCCN	0.0000000000e+00
5000.0	grainC2O	5.5615321213e-13
5000.0	grainC3H4	0.0000000000e+00
5000.0	grainCH2CN	7.6283602167e-34
5000.0	grainCH3CCH	7.2110353832e-13
5000.0	grainNaOH	0.0000000000e+00
5000.0	grainSiC	1.1183889170e-28
5000.0	grainC3H5	0.0000000000e+00
5000.0	grainCH3CN	5.5878638421e-33
5000.0	grainHC2O	0.0000000000e+00
5000.0	grainHCSi	1.0737684904e-31
5000.0	grainC3H6	0.0000000000e+00
5000.0	grainCH2CO	4.2020441838e-11
5000.0	grainNH2CN	0.0000000000e+00
5000.0	grainOCN	6.5133393196e-32
5000.0	grainSiCH2	4.8193151602e-36
5000.0	grainSiN	0.0000000000e+00
5000.0	grainC3H7	0.0000000000e+00
5000.0	grainHNCO	1.1156046025e-33
5000.0	grainHNSi	0.0000000000e+00
5000.0	grainSiCH3	4.6800928789e-36
5000.0	grainC3H8	0.0000000000e+00
5000.0	grainCH3CHO	4.9119759647e-14
5000.0	grainCO2	2.1039311968e-11
5000.0	grainCS	1.7867069274e-29
5000.0	grainN2O	0.0000000000e+00
5000.0	grainSiO	1.7779387698e-27
5000.0	grainHCS	1.1314641900e-35
5000.0	grainNH2CHO	0.0000000000e+00
5000.0	grainNHNO	0.0000000000e+00
5000.0	grainC2H5OH	2.0900736281e-21
5000.0	grainCH3OCH3	1.1300617759e-29
5000.0	grainH2CS	4.5177768923e-33
5000.0	grainH2SiO	8.7326941762e-31
5000.0	grainHCOOH	5.0460097103e-13
