Time [yr]	Species	Pebble Abundance [cm-2]
100.0	grainCO	5.2574899635e-07
100.0	grainH2O	5.2574899635e-07
100.0	grain	5.7832389599e-14
200.0	grainCO	1.0121825013e-06
200.0	grainH2O	1.0121825013e-06
200.0	grain	1.1134007514e-13
500.0	grainCO	2.2765250508e-06
500.0	grainH2O	2.2765250508e-06
500.0	grain	2.5041775559e-13
1000.0	grainCO	3.9066940186e-06
1000.0	grainH2O	3.9066940186e-06
1000.0	grain	4.2973634205e-13
2000.0	grainCO	6.1116410816e-06
2000.0	grainH2O	6.1116410816e-06
2000.0	grain	6.7228051898e-13
5000.0	grainCO	9.4185796756e-06
5000.0	grainH2O	9.4185796756e-06
5000.0	grain	1.0360437643e-12
