Time [yr]	Species	Pebble Abundance [cm-2]
100.0	grainH	1.6878925854e-19
100.0	grainH(-)	1.1215985896e-24
100.0	grainH2	9.0462987790e-12
100.0	grainHe	1.2586464567e-18
100.0	grainC	1.5923225205e-19
100.0	grainCH	8.8047530607e-18
100.0	grainC(-)	2.3680081773e-31
100.0	grainCH2	4.6091163570e-14
100.0	grainCH3	3.9639584551e-13
100.0	grainN	2.8245052411e-34
100.0	grainNH	1.7491283623e-30
100.0	grainCH4	7.4374529051e-11
100.0	grainNH2	3.8062057603e-29
100.0	grainNH3	0.0000000000e+00
100.0	grainO	9.8954143294e-14
100.0	grainOH	1.0077827572e-12
100.0	grainO(-)	1.3793614773e-29
100.0	grainH2O	5.2574794417e-07
100.0	grainOH(-)	1.8353791968e-16
100.0	grainNa	0.0000000000e+00
100.0	grainC2	2.5236011718e-17
100.0	grainMg	0.0000000000e+00
100.0	grainNaH	0.0000000000e+00
100.0	grainC2H	4.1091087361e-16
100.0	grainMgH	0.0000000000e+00
100.0	grainC2H2	4.5379826756e-16
100.0	grainCN	3.5900053580e-29
100.0	grainCN(-)	2.0665460501e-36
100.0	grainMgH2	0.0000000000e+00
100.0	grainC2H3	1.5463290403e-17
100.0	grainHCN	1.6920117023e-28
100.0	grainHNC	1.7694415894e-31
100.0	grainC2H4	5.0794109093e-17
100.0	grainCHNH	0.0000000000e+00
100.0	grainCNH2	0.0000000000e+00
100.0	grainCO	1.1330883287e-08
100.0	grainH2CN	2.1431506733e-35
100.0	grainN2	0.0000000000e+00
100.0	grainSi	0.0000000000e+00
100.0	grainC2H5	8.0376845955e-22
100.0	grainCH2NH	1.7365195377e-33
100.0	grainCH3N	0.0000000000e+00
100.0	grainCHNH2	0.0000000000e+00
100.0	grainHCO	1.8251461825e-13
100.0	grainHOC	0.0000000000e+00
100.0	grainN2H	0.0000000000e+00
100.0	grainSiH	0.0000000000e+00
100.0	grainC2H6	0.0000000000e+00
100.0	grainCH2NH2	0.0000000000e+00
100.0	grainCH3NH	0.0000000000e+00
100.0	grainCHOH	0.0000000000e+00
100.0	grainH2CO	7.7042375562e-15
100.0	grainHOCH	0.0000000000e+00
100.0	grainN2H2	0.0000000000e+00
100.0	grainNO	5.1420933422e-32
100.0	grainSiH2	0.0000000000e+00
100.0	grainCH2OH	0.0000000000e+00
100.0	grainCH3O	0.0000000000e+00
100.0	grainCH5N	0.0000000000e+00
100.0	grainHNO	7.2584603242e-30
100.0	grainHON	0.0000000000e+00
100.0	grainSiH3	0.0000000000e+00
100.0	grainCH3OH	1.7319267769e-20
100.0	grainNH2OH	0.0000000000e+00
100.0	grainO2	6.8080723672e-18
100.0	grainS	0.0000000000e+00
100.0	grainHS	0.0000000000e+00
100.0	grainS(-)	0.0000000000e+00
100.0	grainSiH4	0.0000000000e+00
100.0	grainO2H	4.3089442687e-23
100.0	grainH2O2	6.1670775432e-40
100.0	grainH2S	0.0000000000e+00
100.0	grainCl	0.0000000000e+00
100.0	grainC3	1.3025690883e-21
100.0	grainHCl	0.0000000000e+00
100.0	grainC3H	2.9454043551e-21
100.0	grainC2N	1.1700225540e-30
100.0	grainC3H2	5.3582135856e-21
100.0	grainH2CCC	5.8748549452e-22
100.0	grainC3H3	0.0000000000e+00
100.0	grainHCCN	0.0000000000e+00
100.0	grainC2O	3.1246317755e-19
100.0	grainC3H4	0.0000000000e+00
100.0	grainCH2CN	1.4547957554e-37
100.0	grainCH3CCH	1.2512884368e-19
100.0	grainNaOH	0.0000000000e+00
100.0	grainSiC	0.0000000000e+00
100.0	grainC3H5	0.0000000000e+00
100.0	grainCH3CN	8.0605100420e-33
100.0	grainHC2O	0.0000000000e+00
100.0	grainHCSi	0.0000000000e+00
100.0	grainC3H6	0.0000000000e+00
100.0	grainCH2CO	9.8239869294e-14
100.0	grainNH2CN	1.5114367133e-42
100.0	grainOCN	2.9614209561e-35
100.0	grainSiCH2	0.0000000000e+00
